Artist Name,Artwork,Location,Price,Currency
ABRAHAMS (Mej. Anna),Tulpen,den Haag,200,f
ABRAHAMS (Mej. Anna),Pensées,den Haag,125,f
AKKERINGA (Jan),In 't Duin,Loosduinen,100,f
AKKERINGA (Jan),In 't Duin,Loosduinen,150,f
ALMA TADEMA (Mrs Laura),Well employed,Londen,750,f
ANTHONISSEN (L. J.),Tête de vieille femme de Trouville (Profil),Parijs,800,Fr.
ANTHONISSEN (L. J.),Atelier de repasseuses,Parijs,1500,Fr.
ANTHONISSEN (L. J.),Vieille femme raccommodant un filet,Parijs,2000,Fr.
APOL (Louis),Zomernacht,Velp,3000,f
APOL (Louis),Winterdag,Velp,3000,f